SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22014,202714,Shelvin Mack,1610612737,ATL,Atlanta Hawks,Spotup,Offensive,0.534,55,0.242,0.953,0.375,0.012,0.047,0.023,0.0,0.36,0.5,1.6,1.5,0.5,1.5,0.9
22014,202324,Derrick Favors,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.267,74,0.086,0.796,0.402,0.068,0.049,0.068,0.01,0.408,0.408,1.4,1.1,0.5,1.2,0.7
22014,203460,Andre Roberson,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.184,67,0.413,0.732,0.319,0.045,0.152,0.045,0.009,0.286,0.429,1.7,1.2,0.4,1.4,0.9
22014,203143,Pablo Prigioni,1610612752,NYK,New York Knicks,Spotup,Offensive,0.976,43,0.279,1.328,0.466,0.033,0.016,0.016,0.0,0.475,0.672,1.4,1.9,0.6,1.3,0.7
22014,203142,Chris Copeland,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.348,50,0.248,0.853,0.308,0.032,0.032,0.021,0.021,0.305,0.429,1.9,1.6,0.6,1.8,1.3
22014,2549,Chris Kaman,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.388,74,0.131,0.87,0.452,0.033,0.076,0.033,0.022,0.424,0.452,1.2,1.1,0.5,1.1,0.6
22014,203079,Dion Waiters,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.298,33,0.233,0.825,0.333,0.041,0.072,0.031,0.01,0.33,0.425,2.9,2.4,0.9,2.6,1.8
22014,200757,Thabo Sefolosha,1610612737,ATL,Atlanta Hawks,Spotup,Offensive,0.249,52,0.33,0.777,0.323,0.029,0.078,0.029,0.01,0.311,0.409,2.0,1.5,0.6,1.8,1.2
22014,203903,Jordan Clarkson,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.457,59,0.112,0.907,0.338,0.023,0.058,0.023,0.012,0.326,0.469,1.5,1.3,0.5,1.4,0.9
22014,200745,Andrea Bargnani,1610612752,NYK,New York Knicks,Spotup,Offensive,0.659,29,0.169,1.013,0.471,0.053,0.039,0.039,0.013,0.474,0.5,2.6,2.7,1.1,2.4,1.3
22014,2585,Zaza Pachulia,1610612749,MIL,Milwaukee Bucks,Spotup,Offensive,0.359,73,0.122,0.856,0.436,0.056,0.078,0.056,0.0,0.433,0.436,1.2,1.1,0.5,1.1,0.6
22014,203123,Kostas Papanikolaou,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.199,43,0.399,0.748,0.293,0.029,0.078,0.01,0.0,0.282,0.402,2.4,1.8,0.6,2.1,1.5
22014,202388,Donald Sloan,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.591,53,0.169,0.987,0.358,0.104,0.039,0.104,0.013,0.403,0.47,1.5,1.4,0.5,1.3,0.8
22014,202390,Gary Neal,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.34,43,0.182,0.844,0.351,0.078,0.089,0.067,0.022,0.356,0.429,2.1,1.8,0.6,1.8,1.2
22014,202708,Norris Cole,1610612740,NOP,New Orleans Pelicans,Spotup,Offensive,0.681,28,0.236,1.027,0.394,0.014,0.027,0.014,0.014,0.384,0.528,2.6,2.7,1.0,2.5,1.5
22014,2034,Mike Miller,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.63,52,0.551,1.0,0.347,0.0,0.04,0.0,0.0,0.333,0.521,1.4,1.4,0.5,1.4,0.9
22014,200765,Rajon Rondo,1610612742,DAL,Dallas Mavericks,Spotup,Offensive,0.346,47,0.147,0.852,0.369,0.0,0.045,0.0,0.0,0.352,0.446,1.9,1.6,0.7,1.8,1.1
22014,202720,Jon Leuer,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.173,63,0.312,0.721,0.358,0.038,0.058,0.038,0.01,0.346,0.384,1.7,1.2,0.5,1.5,1.0
22014,101179,Ronnie Price,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.589,43,0.255,0.987,0.347,0.027,0.013,0.027,0.0,0.36,0.493,1.7,1.7,0.6,1.7,1.1
22014,202704,Reggie Jackson,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.252,50,0.133,0.779,0.286,0.042,0.0,0.042,0.0,0.305,0.374,1.9,1.5,0.5,1.8,1.3
22014,2555,Nick Collison,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.425,66,0.245,0.887,0.387,0.013,0.063,0.013,0.013,0.363,0.473,1.2,1.1,0.4,1.1,0.7
22014,2754,Tony Allen,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.228,64,0.156,0.763,0.349,0.022,0.097,0.022,0.011,0.323,0.41,1.5,1.1,0.5,1.3,0.8
22014,101161,Amir Johnson,1610612761,TOR,Toronto Raptors,Spotup,Offensive,0.783,75,0.092,1.078,0.5,0.094,0.109,0.078,0.016,0.469,0.596,0.9,0.9,0.3,0.7,0.3
22014,201152,Thaddeus Young,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.661,28,0.168,1.015,0.431,0.06,0.075,0.03,0.0,0.433,0.534,2.4,2.4,0.9,2.1,1.2
22014,2430,Carlos Boozer,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.158,71,0.107,0.708,0.36,0.042,0.042,0.031,0.01,0.365,0.36,1.4,1.0,0.5,1.3,0.8
